TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
ADU,3,M. Montebon,10.0,205.5,69.0,5.0,22.0,27.0,32.0,17.0,12.0,2.0,14.0,23.0,83.0,27.710843373493976,11.0,39.0,28.205128205128204,12.0,44.0,27.27272727272727,11.0,16.0,68.75,17.0,15.0,4.0,5.0
ADU,8,H. Demisana,8.0,31.150000000000002,6.0,4.0,5.0,9.0,1.0,4.0,1.0,1.0,2.0,3.0,12.0,25.0,3.0,9.0,33.33333333333333,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,-8.0,4.0
ADU,9,L. Perez,10.0,73.68333333333334,19.0,5.0,10.0,15.0,2.0,1.0,1.0,5.0,6.0,8.0,12.0,66.66666666666666,8.0,12.0,66.66666666666666,0.0,0.0,0.0,3.0,3.0,100.0,16.0,4.0,-7.0,5.0
ADU,10,C. Manzano,10.0,242.8,122.0,25.0,41.0,66.0,22.0,25.0,13.0,8.0,21.0,50.0,100.0,50.0,48.0,92.0,52.17391304347826,2.0,8.0,25.0,20.0,26.0,76.92307692307693,28.0,34.0,76.0,5.0
ADU,11,J. Barcelona,10.0,41.516666666666666,4.0,4.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,11.11111111111111,0.0,7.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,6.0,3.0,-15.0,5.0
ADU,15,R. Torres,10.0,166.21666666666667,103.0,5.0,15.0,20.0,14.0,11.0,4.0,0.0,4.0,37.0,85.0,43.529411764705884,23.0,44.0,52.27272727272727,14.0,41.0,34.146341463414636,15.0,18.0,83.33333333333334,11.0,16.0,28.0,5.0
ADU,18,J. Erolon,10.0,215.16666666666663,87.0,2.0,16.0,18.0,28.0,15.0,8.0,0.0,8.0,30.0,95.0,31.57894736842105,18.0,51.0,35.294117647058826,12.0,44.0,27.27272727272727,15.0,20.0,75.0,23.0,19.0,27.0,5.0
ADU,19,J. Jaymalin,8.0,22.45,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,100.0,4.0,1.0,2.0,4.0
ADU,20,E. Anabo,10.0,198.98333333333335,49.0,22.0,38.0,60.0,25.0,12.0,15.0,1.0,16.0,13.0,52.0,25.0,5.0,17.0,29.411764705882355,8.0,35.0,22.857142857142858,15.0,28.0,53.57142857142857,16.0,22.0,-2.0,5.0
ADU,21,J. Medina,10.0,218.71666666666667,58.0,6.0,25.0,31.0,7.0,5.0,8.0,4.0,12.0,22.0,68.0,32.35294117647059,11.0,25.0,44.0,11.0,43.0,25.581395348837212,3.0,4.0,75.0,15.0,14.0,-17.0,5.0
ADU,23,M. Ojarikre,10.0,215.2833333333333,38.0,33.0,48.0,81.0,5.0,11.0,3.0,15.0,18.0,16.0,32.0,50.0,16.0,32.0,50.0,0.0,0.0,0.0,6.0,14.0,42.857142857142854,22.0,17.0,-27.0,5.0
ADU,25,K. Cañete,7.0,15.35,8.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,1.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,4.0,0.0,-4.0,4.0
ADU,27,A. Fransman,10.0,163.76666666666668,59.0,12.0,35.0,47.0,11.0,17.0,6.0,2.0,8.0,18.0,68.0,26.47058823529412,11.0,37.0,29.72972972972973,7.0,31.0,22.58064516129032,16.0,22.0,72.72727272727273,13.0,14.0,-32.0,5.0
ADU,30,C. Ronzone,9.0,30.48333333333333,1.0,1.0,3.0,4.0,3.0,5.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,4.0,2.0,-16.0,4.0
